id,name,originalPrice,discountedPrice,description,category,rating,reviews,createdAt,updatedAt,sku,quantity,media,image
1,Red Colour Stone Hairbow,109.00,59.00,"This elegant hairbow features a rich red color accented with a sparkling stone at the center, adding a touch of glamour to any hairstyle. The bow is crafted from high-quality satin and organza ribbon, making it perfect for festive occasions, parties, or daily wear.",Hairbows,4.50,0,2025-11-11 08:47:23.736+00,2026-01-31 17:59:45.975+00,,5,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1769886292/saajjewels_products/j97nnfw61xmntygcjv3p.jpg"",""type"":""image"",""public_id"":""saajjewels_products/j97nnfw61xmntygcjv3p""}]",
4,Crystal Framed Modern Statement Earrings,89.00,39.00,"Add a bold touch to your look with these geometric earrings featuring a sparkling crystal stud and a rectangular frame encrusted with clear stones. The sleek gold and black bar design inside the frame gives a modern, chic appeal—ideal for party outfits or elevating everyday style.​",Earrings,4.50,0,2025-11-11 08:58:45.582+00,2025-11-11 08:58:45.582+00,,2,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1762851527/saajjewels_products/q78ev25aglzyws7c4xcz.jpg"",""type"":""image"",""public_id"":""saajjewels_products/q78ev25aglzyws7c4xcz""}]",
5,Elegant Accessories Gift Bouquet,749.00,549.00,"This unique bouquet features an array of fashion accessories arranged beautifully with vibrant hairbows, floral scrunchies, and stylish jewelry packed in luxe black and gold wrap. Perfect for gifting, it combines chic beauty items and candies in a visually stunning presentation for birthdays, celebrations, or special surprises.",Bouquet,4.50,0,2025-11-11 09:14:12.359+00,2025-11-11 09:14:12.359+00,,3,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1762852454/saajjewels_products/wybv8dikwp3jczqwban7.jpg"",""type"":""image"",""public_id"":""saajjewels_products/wybv8dikwp3jczqwban7""}]",
6,Yellow Blossom Hamper,769.00,549.00,"This beautifully curated hamper is filled with elegant yellow-toned accessories, including a charming floral hair clip, a satin scrunchie, a heart-shaped hairpin, a gemstone bracelet, a pendant necklace, and a stylish satin bow. Presented on a decorative tray, it makes a joyful and vibrant gift for special occasions and celebrations.",Hamper,4.50,0,2025-11-11 09:21:25.973+00,2026-01-30 11:21:42.709+00,,6,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1762852888/saajjewels_products/pjseahldxfooxahbxx50.jpg"",""type"":""image"",""public_id"":""saajjewels_products/pjseahldxfooxahbxx50""}]",
7,Daisy Charm Pendant Necklace,109.00,59.00,"This delicate necklace features a charming daisy flower pendant with white petals and a gold center, set on a simple chain for an elegant and fresh look. Perfect for daily wear or gifting, it adds a touch of floral beauty to any outfit.",Necklace,4.50,0,2025-11-11 09:26:15.242+00,2025-11-11 09:26:15.242+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1762853177/saajjewels_products/zz1qnnnff8yp4qpvmzdy.jpg"",""type"":""image"",""public_id"":""saajjewels_products/zz1qnnnff8yp4qpvmzdy""}]",
8,Pastel Pink Satin Scrunchie,79.00,39.00,"This soft pink scrunchie is crafted from smooth satin fabric, providing a gentle and stylish hold for your hair. Its voluminous, ruffled design is perfect for adding a cute and trendy touch to everyday hairstyles or gifting to friends.",Scrunchies,4.50,0,2025-11-11 09:28:00.053+00,2025-11-11 09:28:00.053+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1762853282/saajjewels_products/q1g1fhd62d5xwqlk96vi.jpg"",""type"":""image"",""public_id"":""saajjewels_products/q1g1fhd62d5xwqlk96vi""}]",
10,Sky Blue Hawaiian Flower Claw,79.00,39.00,"This beautiful claw features a soft sky blue flower design with subtle brown detailing at the center, creating a tropical and fresh look. Ideal for adding a lively, beach-inspired touch to your hairstyles, this accessory is perfect for parties, holidays, or casual everyday wear.",Claws,4.50,0,2025-11-11 09:31:14.757+00,2025-11-11 09:31:14.757+00,,3,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1762853477/saajjewels_products/wkr1lcnbqbyy8efftxyo.jpg"",""type"":""image"",""public_id"":""saajjewels_products/wkr1lcnbqbyy8efftxyo""}]",
11,Custom Gift Box Packaging,749.00,549.00,"This elegant custom packaging features a sturdy white box wrapped with a vibrant red ribbon and adorned with floral accents for a festive, premium look. Perfect for special gifts, the box is branded with the SAAJ Jewels logo, ensuring your presents are delivered in style and make a memorable impression.",Custom Packaging,4.50,0,2025-11-11 09:53:24.677+00,2025-11-11 09:53:24.677+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1762854805/saajjewels_products/mnqvcb5wdjrk0rginnk0.jpg"",""type"":""image"",""public_id"":""saajjewels_products/mnqvcb5wdjrk0rginnk0""}]",
12,Minimalist Silver Geometric Ring,79.00,49.00,"This stylish ring features an open geometric design in shiny silver, giving it a modern, minimal look that's perfect for daily wear or stacking with other rings. Its lightweight feel and chic shape make it a versatile accessory, adding a subtle statement to any outfit.",Rings,4.50,0,2025-11-11 09:56:37.969+00,2025-11-11 09:56:37.969+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1762855000/saajjewels_products/sa2u4lmxngsvf4iuqdbn.jpg"",""type"":""image"",""public_id"":""saajjewels_products/sa2u4lmxngsvf4iuqdbn""}]",
15,Black Tie Clover Clips,89.00,45.00,"These are a pair of sophisticated, long drop hair clips or barrettes, featuring a gold-toned border and an elegant black clover-like design. Each clip is composed of four interconnected clover motifs, creating a stylish, vertical cascade. The contrasting black color against the delicate gold border offers a timeless, luxurious aesthetic. These accessories are perfect for adding a touch of classic charm and refinement to both everyday and formal hairstyles.",Hairclips,4.50,0,2025-11-11 10:03:44.605+00,2025-12-14 06:07:28.371+00,,1,"[{""url"":""https://res.cloudinary.com/dfqqzbff7/image/upload/v1765692447/saajjewels_products/qy1fhzdhnva4lzdx9tce.jpg"",""type"":""image"",""public_id"":""saajjewels_products/qy1fhzdhnva4lzdx9tce""}]",
